Deutsch;English;temperament;min_height;max_height;min_weight;max_weight;energy_level_value;energy_level_category
Rat Terrier;Rat Terrier;Friendly, Inquisitive, Lovable;25.40;45.72;4.535923700000001;11.33980925;0.6;Regular Exercise
;Redbone Coonhound;Even-Tempered, Amiable, Eager to Please;53.34;68.58;20.41165665;31.751465900000003;0.6;Regular Exercise
Rhodesian Ridgeback;Rhodesian Ridgeback;Affectionate, Dignified, Even-Tempered;60.96;68.58;31.751465900000003;38.55535145;0.6;Regular Exercise
Ciobanesc Romanesc Mioritic;Romanian Mioritic Shepherd Dog;Loyal, Independent, Confident Guardian;57.15;73.66;45.359237;58.9670081;0.6;Regular Exercise
Rottweiler;Rottweiler;Loyal, Loving, Confident Guardian;55.88;68.58;36.287389600000004;61.23496995;0.6;Regular Exercise
Russell Terrier / Jack Russell Terrier ;Russell Terrier;Alert, Inquisitive, Lively;25.40;30.48;4.082331330000001;6.80388555;1.0;Needs Lots of Activity
Russkiy Toy;Russian Toy;Loyal, Smart, Charming;20.32;27.94;2.9483504050000002;2.9483504050000002;0.6;Regular Exercise
;Russian Tsvetnaya Bolonka;Playful, Charming, Inquisitive;22.86;25.40;2.0411656650000003;4.9895160700000005;0.6;Regular Exercise
St. Bernhardshund;Saint Bernard;Playful, Charming, Inquisitive;66.04;76.2;54.4310844;81.6466266;0.6;Regular Exercise
Saluki;Saluki;Gentle, Dignified, Independent-Minded;58.42;71.12;18.143694800000002;29.48350405;0.8;Energetic
Samojede;Samoyed;Adaptable, Friendly, Gentle;48.26;59.69;15.875732950000002;29.48350405;0.8;Energetic
Schapendoes;Schapendoes;Friendly, Watchful, Lively;40.64;50.8;11.793401620000001;24.947580350000003;0.6;Regular Exercise
Schipperke;Schipperke;Confident, Alert, Curious;25.40;33.02;4.535923700000001;7.25747792;0.8;Energetic
Deerhound;Scottish Deerhound;Gentle, Dignified, Polite;71.12;81.28;34.01942775;49.895160700000005;0.6;Regular Exercise
Scottish Terrier;Scottish Terrier;Confident, Independent, Spirited;25.40;25.40;8.164662660000001;9.979032140000001;0.6;Regular Exercise
;Sealyham Terrier;Alert, Outgoing, Sense Of Humor;26.67;26.67;10.43262451;10.886216880000001;0.6;Regular Exercise
Segugio Italiano;Segugio Italiano;Friendly, Intelligent, Eager to Please;48.26;58.42;18.143694800000002;27.2155422;;
Shetland Sheepdog;Shetland Sheepdog;Playful, Energetic, Bright;33.02;40.64;6.80388555;11.33980925;0.6;Regular Exercise
Shiba;Shiba Inu;Alert, Active, Attentive;34.29;41.910000000000004;7.71107029;10.43262451;0.6;Regular Exercise
Shih Tzu;Shih Tzu;Affectionate, Playful, Outgoing;22.86;26.67;4.082331330000001;7.25747792;0.6;Regular Exercise
Shikoku;Shikoku;Energetic, Alert, Enthusiastic;43.18;55.88;15.875732950000002;24.947580350000003;0.6;Regular Exercise
Siberian Husky;Siberian Husky;Loyal, Mischievous, Outgoing;50.8;59.69;15.875732950000002;27.2155422;0.8;Energetic
;Silky Terrier;Friendly, Quick, Keenly Alert;22.86;25.40;4.535923700000001;4.535923700000001;0.6;Regular Exercise
Skye Terrier;Skye Terrier;Courageous, Good-Tempered, Canny;24.13;25.40;15.875732950000002;20.41165665;0.6;Regular Exercise
Sloughi;Sloughi;Reserved, Graceful, Noble;60.96;73.66;15.875732950000002;22.6796185;0.6;Regular Exercise
;Slovakian Wirehaired Pointer;;57.15;67.31;22.6796185;29.48350405;0.8;Energetic
;Slovensky Cuvac;Courageous, Alert, Faithful;58.42;69.85;30.84428116;43.99845989;0.4;Calm
Slovensky Kopov;Slovensky Kopov;Courageous, Alert, Determined;40.64;50.8;14.968548210000002;19.958064280000002;0.6;Regular Exercise
Kleiner Münsterländer;Small Munsterlander Pointer;Intelligent, Devoted, Self-Confident;52.07;53.34;18.143694800000002;27.2155422;1.0;Needs Lots of Activity
Fox Terrier glatthaar;Smooth Fox Terrier;Friendly, Independent, Amusing;38.1;38.1;6.80388555;8.164662660000001;0.8;Energetic
Soft Coated Wheaten Terrier;Soft Coated Wheaten Terrier;Friendly, Happy, Deeply Devoted;43.18;48.26;13.6077711;18.143694800000002;0.8;Energetic
;Spanish Mastiff;Affectionate, Intelligent, Kind;71.12;88.9;63.502931800000006;90.718474;0.4;Calm
Perro de Agua Español;Spanish Water Dog;Playful but also Work-Oriented. Very Active and Upbeat.;40.005;50.165;14.06136347;22.22602613;0.8;Energetic
Spinone Italiano;Spinone Italiano;Sociable, Patient, Docile;55.88;68.58;;;0.8;Energetic
Stabyhoun;Stabyhoun;Intelligent, Responsive, Loving;48.26;53.34;18.143694800000002;27.2155422;0.8;Energetic
Staffordshire Bullterrier;Staffordshire Bull Terrier;Clever, Brave, Tenacious;35.56;40.64;10.886216880000001;17.23651006;0.8;Energetic
Schnauzer;Standard Schnauzer;Fearless, Smart, Spirited;44.45;49.53;13.6077711;22.6796185;0.6;Regular Exercise
Sussex Spaniel;Sussex Spaniel;Friendly, Merry, Even-Tempered;33.02;38.1;15.875732950000002;20.41165665;0.6;Regular Exercise
;Swedish Lapphund;Playful, Intelligent, Lively;40.64;50.8;13.6077711;20.41165665;0.6;Regular Exercise
Västgötaspets;Swedish Vallhund;Friendly, Energetic, Watchful;29.21;34.925;9.071847400000001;15.875732950000002;1.0;Needs Lots of Activity
Taiwan Dog;Taiwan Dog;Loyal, Versatile, Intelligent;43.18;50.8;11.793401620000001;18.143694800000002;1.0;Needs Lots of Activity
;Teddy Roosevelt Terrier;Playful, Versatile, Intelligent;20.32;38.1;3.62873896;11.33980925;0.8;Energetic
Thai Ridgeback;Thai Ridgeback;Loyal, Independent, Agile;50.8;60.96;15.875732950000002;34.01942775;0.8;Energetic
Do-Khyi;Tibetan Mastiff;Independent, Reserved, Intelligent;60.96;66.04;31.751465900000003;68.0388555;0.6;Regular Exercise
Tibetan Spaniel;Tibetan Spaniel;Playful, Bright, Self-Confident;25.40;25.40;4.082331330000001;6.80388555;0.4;Calm
Tibetan Terrier;Tibetan Terrier;Affectionate, Loyal, Sensitive;35.56;43.18;8.164662660000001;13.6077711;0.8;Energetic
Tornjak;Tornjak;Friendly, Courageous, Intelligent;58.42;71.12;28.12272694;49.895160700000005;;
;Tosa;Fearless, Patient, Vigilant;54.61;59.69;45.359237;90.718474;0.4;Calm
;Toy Fox Terrier;Friendly, Alert, Intelligent;21.59;29.21;1.587573295;3.17514659;0.8;Energetic
;Transylvanian Hound;Courageous, Good-Natured, Determined;55.88;66.04;24.947580350000003;24.947580350000003;1.0;Needs Lots of Activity
;Treeing Tennessee Brindle;Friendly, Alert, Intelligent;40.64;60.96;13.6077711;22.6796185;0.6;Regular Exercise
;Treeing Walker Coonhound;Smart, Brave, Courteous;50.8;68.58;22.6796185;31.751465900000003;0.6;Regular Exercise
Magyar Vizsla;Vizsla;Affectionate, Gentle, Energetic;53.34;60.96;19.958064280000002;27.2155422;0.8;Energetic
Weimaraner;Weimaraner;Friendly, Fearless, Obedient;58.42;68.58;24.947580350000003;40.8233133;1.0;Needs Lots of Activity
Welsh Springer Spaniel;Welsh Springer Spaniel;Happy, Reserved, Upbeat;43.18;48.26;15.875732950000002;24.947580350000003;0.8;Energetic
Welsh Terrier;Welsh Terrier;Friendly, Spirited, Intelligent;38.1;38.1;9.071847400000001;9.071847400000001;0.8;Energetic
West Highland White Terrier;West Highland White Terrier;Loyal, Happy, Entertaining;25.40;27.94;6.80388555;9.071847400000001;0.6;Regular Exercise
Wetterhoun;Wetterhoun;Loyal, Good-Natured, Intelligent;12.700;58.42;22.6796185;34.01942775;0.6;Regular Exercise
Whippet;Whippet;Affectionate, Playful, Calm;45.72;55.88;11.33980925;18.143694800000002;0.6;Regular Exercise
Fox Terrier drahthaar;Wire Fox Terrier;Confident, Alert, Gregarious;38.1;38.1;6.80388555;8.164662660000001;0.6;Regular Exercise
Griffon Korthals;Wirehaired Pointing Griffon;Friendly, Devoted, Trainable;50.8;60.96;15.875732950000002;31.751465900000003;1.0;Needs Lots of Activity
Magyar Vizsla Drahthaar;Wirehaired Vizsla;Gentle, Loyal, Trainable;54.61;63.5;20.41165665;29.48350405;0.8;Energetic
Working Kelpie;Working Kelpie;Alert, Eager, Intelligent;48.26;63.5;12.70058636;27.2155422;0.8;Energetic
Xoloitzcuintle;Xoloitzcuintli;Loyal, Alert, Calm;25.40;58.42;4.535923700000001;24.947580350000003;0.8;Energetic
Yakutian Laika;Yakutian Laika;Affectionate, Intelligent, Active;53.34;58.42;18.143694800000002;24.947580350000003;0.8;Energetic
Yorkshire Terrier;Yorkshire Terrier;Affectionate, Sprightly, Tomboyish;17.78;20.32;3.17514659;3.17514659;0.6;Regular Exercise
